x_local,y_local
0.0,0.0
-0.07190578884910792,0.0021665024978574365
-0.1718746975529939,0.0021665024978574365
-0.2718436063732952,0.10214234629529528
-0.37181251507718116,0.20211819009273313
-0.47178142378106713,0.20211819009273313
-0.5717503326013684,0.20211819009273313
-0.6717192413052544,0.20211819009273313
-0.7716881500091404,0.20211819009273313
-0.8716570588294417,0.20211819009273313
-0.9716259675333276,0.20211819009273313
-1.071594876353629,0.20211819009273313
-1.171563785057515,0.20211819009273313
-2.463830460095778,1.4524038125236984
-4.163830460049212,1.9079174396465532
-5.863830460002646,1.4524038125236984
-7.108316832920536,0.20791743966401555
-7.563830460072495,-1.492082560347626
-7.108316832920536,-3.1920825603592675
-5.863830460002646,-4.43656893321895
-4.163830460049212,-4.892082560341805
-2.463830460095778,-4.43656893321895
-1.2193440871778876,-3.1920825603592675
-0.7638304600259289,-1.492082560347626
-0.7716881500091404,-1.3974953108408954
-0.7716881500091404,-1.2975194670143537
-0.7716881500091404,-1.1975436232169159
-0.7716881500091404,-1.097567779419478
-0.7716881500091404,-0.9975919355929364
-0.7716881500091404,-0.8976160917954985
-0.7716881500091404,-0.7976402479689568
-0.7716881500091404,-0.697664404171519
-0.7716881500091404,-0.5976885603740811
-0.7716881500091404,-0.49771271654753946
-0.7716881500091404,-0.3977368727501016
-0.7716881500091404,-0.29776102895266376
-0.7716881500091404,-0.1977851851261221
-0.7716881500091404,-0.09780934132868424
-0.7716881500091404,0.0021665024978574365
-0.7716881500091404,0.10214234629529528
-0.7716881500091404,0.20211819009273313
-0.7716881500091404,0.3020940339192748
-0.7716881500091404,0.40206987771671265
-0.7716881500091404,0.5020457215141505
-0.7716881500091404,0.6020215653406922
-0.7716881500091404,0.70199740913813
-0.7716881500091404,0.8019732529646717
-0.7716881500091404,0.9019490967621095
-0.7716881500091404,1.0019249405595474
-0.7716881500091404,1.101900784386089
-0.7716881500091404,1.201876628183527
-0.7716881500091404,1.3018524719809648
-0.7716881500091404,1.4018283158075064
-0.7716881500091404,1.5018041596049443
-0.7716881500091404,1.601780003431486
-0.8716570588294417,1.7017558472289238
-0.9716259675333276,1.8017316910263617
-1.071594876353629,1.9017075348529033
-1.071594876353629,2.001683378650341
-1.171563785057515,2.101659222447779
-1.2715326937614009,2.2016350662743207
-1.3715016025817022,2.3016109100717586
-1.3715016025817022,2.4015867538983002
-1.4714705112855881,2.501562597695738
-1.5714394199894741,2.601538441493176
-1.5714394199894741,2.7015142853197176
-1.6714083288097754,2.8014901291171554
-1.7713772375136614,2.901465972943697
-1.8713461463339627,3.001441816741135
-1.9713150550378487,3.101417660538573
-2.0712839637417346,3.2013935043651145
-2.0712839637417346,3.3013693481625523
-2.0712839637417346,3.40134519195999
-2.0712839637417346,3.501321035786532
-2.171252872562036,3.6012968795839697
-2.171252872562036,3.7012727234105114
-2.171252872562036,3.8012485672079492
-2.171252872562036,3.901224411005387
-2.171252872562036,4.001200254831929
-2.271221781265922,4.101176098629367
-2.371190689969808,4.2011519424268045
-2.371190689969808,4.301127786253346
-2.471159598790109,4.401103630050784
-2.471159598790109,4.501079473877326
-0.808320608921349,4.981061019876506
0.4361657639965415,6.225547392736189
0.8916793911485001,7.925547392747831
0.4361657639965415,9.625547392759472
-0.808320608921349,10.870033765619155
-2.508320608874783,11.32554739274201
-4.208320608828217,10.870033765619155
-5.452806981746107,9.625547392759472
-5.908320608898066,7.925547392747831
-5.452806981746107,6.225547392736189
-4.208320608828217,4.981061019876506
-4.070662138750777,4.900982849096181
-3.9706932299304754,4.801007005298743
