x_local,y_local,state
-1.071594876353629,0.20211819009273313,Normal
-1.171563785057515,0.20211819009273313,Orbit
-4.011146050877869,1.8670057755080052,Orbit
-6.911734398221597,0.40449987436295487,Orbit
-7.211313498904929,-2.807693769951584,Orbit
-4.664071441045962,-4.758043393463595,Orbit
-1.6703555909916759,-3.643094064173056,Orbit
-0.7716881500091404,-0.697664404171519,Orbit
-0.7716881500091404,-0.5976885603740811,Normal
-2.171252872562036,3.822621186147444,Normal
-2.471159598790109,4.401103630050784,Normal
-2.471159598790109,4.501079473877326,Orbit
0.37203368125483394,6.161415310023585,Orbit
0.4906822363846004,9.422089147934457,Orbit
-2.1890101734315977,11.239988419431029,Orbit
-5.134245829889551,9.944108544557821,Orbit
-5.600450956844725,6.776562209415715,Orbit
-3.570817594998516,4.801007005298743,Orbit
-3.47084868629463,4.801007005298743,Normal
0.3279698461992666,6.30064466240583,Normal
0.4279387549031526,6.4006205062323716,Orbit
0.7278454811312258,6.700548037653789,Orbit
0.8278143898351118,6.800523881451227,Normal
2.92716147354804,9.299919976678211,Normal
3.027130382368341,9.399895820475649,Orbit
5.852035046904348,7.722605836490402,Orbit
8.749049141304567,9.19845103143598,Orbit
9.03528894810006,12.414218928752234,Orbit
6.478281849529594,14.354803511465434,Orbit
3.488140252418816,13.226514888374368,Orbit
2.6272547473199666,10.199702570942463,Orbit
2.6272547473199666,10.099726727145026,Normal
4.466078539844602,5.861355119996006,Normal
4.526664013508707,5.600813755765557,Normal
4.626632922329009,5.500837911939016,Orbit
1.7766033749794587,3.845630183146568,Orbit
1.6176498127169907,0.5957560393435415,Orbit
4.267836909508333,-1.2516485451487824,Orbit
7.2238722601905465,0.003926322620827705,Orbit
7.730382394162007,3.160672963655088,Orbit
5.426630949019454,5.30088622434414,Orbit
5.226446374785155,5.30088622434414,Orbit
5.126477465964854,5.30088622434414,Normal
4.126788378576748,5.30088622434414,Normal
4.026819469756447,5.30088622434414,Orbit
3.926850561052561,5.30088622434414,Orbit
3.826881652348675,5.200910380517598,Normal
1.927472386159934,3.901224411005387,Normal
1.8275034773396328,3.8012485672079492,Orbit
1.4276278424076736,3.40134519195999,Orbit
1.3276589335873723,3.3013693481625523,Normal
0.028063119971193373,0.0021665024978574365,Normal
