longitude,latitude
103.214439,1.9550569999999996
103.21443835523593,1.9550570211784792
103.21443745876786,1.9550570234460738
103.2144365645537,1.955057927753669
103.21443567033953,1.9550588320612656
103.21443477387145,1.9550588343288609
103.21443387740338,1.9550588365964552
103.21443298093531,1.955058838864049
103.21443208446723,1.9550588411316427
103.21443118799915,1.9550588433992362
103.21443029153109,1.955058845666829
103.21442939506301,1.9550588479344209
103.21442849859493,1.9550588502020125
103.2144169384206,1.9550701603161547
103.21440170399231,1.9550743087853564
103.21438644902511,1.9550702374382007
103.21437526107557,1.9550590371885361
103.21437113794616,1.9550437091343154
103.21437518442612,1.9550283604157197
103.21438631626401,1.9550171037098378
103.21440155069243,1.95501295524182
103.21441680565854,1.9550170265898896
103.21442799360688,1.9550282268392836
103.21443211673618,1.9550435548923213
103.21443204840497,1.955044408491541
103.21443205065887,1.955045310531548
103.21443205291276,1.9550462125715546
103.21443205516663,1.95504711461156
103.21443205742052,1.955048016651567
103.21443205967441,1.9550489186915732
103.21443206192829,1.9550498207315798
103.21443206418218,1.955050722771586
103.21443206643607,1.9550516248115926
103.21443206868997,1.9550525268515988
103.21443207094386,1.955053428891605
103.21443207319776,1.955054330931612
103.21443207545165,1.9550552329716187
103.21443207770554,1.9550561350116245
103.21443207995944,1.9550570370516305
103.21443208221334,1.9550579390916367
103.21443208446723,1.9550588411316427
103.21443208672113,1.9550597431716494
103.21443208897503,1.9550606452116557
103.21443209122893,1.9550615472516617
103.21443209348284,1.9550624492916684
103.21443209573674,1.9550633513316746
103.21443209799065,1.9550642533716802
103.21443210024455,1.9550651554116865
103.21443210249846,1.955066057451693
103.21443210475236,1.9550669594916987
103.21443210700627,1.9550678615317052
103.21443210926019,1.9550687635717114
103.2144321115141,1.955069665611717
103.21443211376801,1.9550705676517237
103.21443211602192,1.9550714696917295
103.21443122180776,1.9550723739993445
103.21443032759359,1.955073278306961
103.21442943337942,1.9550741826145794
103.21442943563333,1.9550750846545881
103.21442854141917,1.955075988962209
103.21442764720499,1.9550768932698315
103.21442675299082,1.9550777975774556
103.21442675524473,1.955078699617468
103.21442586103056,1.9550796039250948
103.2144249668164,1.9550805082327225
103.21442496907031,1.9550814102727372
103.21442407485614,1.9550823145803673
103.21442318064196,1.9550832188880005
103.21442228642779,1.9550841231956346
103.21442139221361,1.9550850275032703
103.21442049799944,1.9550859318109075
103.21442050025335,1.9550868338509266
103.21442050250727,1.955087735890946
103.21442050476121,1.9550886379309662
103.21441961054703,1.9550895422386074
103.21441961280095,1.955090444278628
103.21441961505488,1.9550913463186488
